8/18/2020 0:00		1
8/18/2020 1:00		2
8/18/2020 2:00		3
8/18/2020 3:00		4
8/18/2020 4:00		5
8/18/2020 5:00		6
8/18/2020 6:00		7
8/18/2020 7:00		8
8/18/2020 8:00		9
8/18/2020 9:00		10
8/18/2020 10:00		11
8/18/2020 11:00		12
8/18/2020 12:00		11
8/18/2020 13:00		10
8/18/2020 14:00		9
8/18/2020 15:00		8
8/18/2020 16:00		7
8/18/2020 17:00		6
8/18/2020 18:00		5
8/18/2020 19:00		4
8/18/2020 20:00		3
8/18/2020 21:00		2
8/18/2020 22:00		1
8/18/2020 23:00		2
8/19/2020 0:00		3
8/19/2020 1:00		4
8/19/2020 2:00		5
8/19/2020 3:00		6
8/19/2020 4:00		7
8/19/2020 5:00		8
8/19/2020 6:00		9
8/19/2020 7:00		10
8/19/2020 8:00		11
8/19/2020 9:00		12
8/19/2020 10:00		11
8/19/2020 11:00		10
8/19/2020 12:00		9
8/19/2020 13:00		8
8/19/2020 14:00		7
8/19/2020 15:00		6
8/19/2020 16:00		5
8/19/2020 17:00		4
8/19/2020 18:00		3
8/19/2020 19:00		2
8/19/2020 20:00		1
8/19/2020 21:00		0
8/19/2020 22:00		1
8/19/2020 23:00		2
8/20/2020 0:00		3
